,Run 1,,,Run 2,,,Run 3,,,Run 4,,,Run 5,,,Run 6,,,Run 7,,,Run 8,,,Run 9,,,Run 10,,
TCP,Total Time,Sent,Received,Total Time,Sent,Received,Total Time,Sent,Received,Total Time,Sent,Received,Total Time,Sent,Received,Total Time,Sent,Received,Total Time,Sent,Received,Total Time,Sent,Received,Total Time,Sent,Received,Total Time,Sent,Received
1024 / 10,0.014,10240,10240,0.025,10240,10240,0.018,10240,10240,0.016,10240,10240,0.014,10240,10240,0.019,10240,10240,0.019,10240,10240,0.028,10240,10240,0.028,10240,10240,0.015,10240,10240
4096 / 10,0.013,40960,40960,0.018,40960,40960,0.033,40960,40960,0.02,40960,40960,0.026,40960,40960,0.033,40960,40960,0.014,40960,40960,0.019,40960,40960,0.031,40960,40960,0.03,40960,40960
20K / 10,0.031,204800,204800,0.054,204800,204800,0.031,204800,204800,0.049,204800,204800,0.053,204800,204800,0.065,204800,204800,0.051,204800,204800,0.055,204800,204800,0.053,204800,204800,0.027,204800,204800
60K / 10,0.124,614400,614400,0.059,614400,614400,0.065,614400,614400,0.128,614400,614400,0.053,614400,614400,0.146,614400,614400,0.066,614400,614400,0.137,614400,614400,0.131,614400,614400,0.068,614400,614400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024 / 100,0.074,102400,102400,0.072,102400,102400,0.07,102400,102400,0.075,102400,102400,0.079,102400,102400,0.076,102400,102400,0.082,102400,102400,0.078,102400,102400,0.079,102400,102400,0.083,102400,102400
4096 / 100,0.107,409600,409600,0.104,409600,409600,0.106,409600,409600,0.12,409600,409600,0.107,409600,409600,0.112,409600,409600,0.169,409600,409600,0.104,409600,409600,0.117,409600,409600,0.108,409600,409600
20K / 100,0.15,2048000,2048000,0.143,2048000,2048000,0.396,2048000,2048000,0.367,2048000,2048000,0.161,2048000,2048000,0.36,2048000,2048000,0.352,2048000,2048000,0.155,2048000,2048000,0.371,2048000,2048000,0.353,2048000,2048000
60K / 100,0.255,6144000,6144000,0.26,6144000,6144000,0.747,6144000,6144000,0.273,6144000,6144000,0.735,6144000,6144000,0.74,6144000,6144000,0.752,6144000,6144000,0.329,6144000,6144000,0.272,6144000,6144000,0.242,6144000,6144000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024 / 10,0.017,10240,10240,0.022,10240,10240,0.013,10240,10240,0.011,10240,10240,0.013,10240,10240,0.016,10240,10240,0.01,10240,10240,0.011,10240,10240,0.01,10240,10240,0.013,10240,10240
4096 / 10,0.01,40960,40960,0.012,40960,40960,0.015,40960,40960,0.011,40960,40960,0.02,40960,40960,0.01,40960,40960,0.01,40960,40960,0.014,40960,40960,0.014,40960,40960,0.01,40960,40960
20K / 10,0.022,204800,204800,0.032,204800,204800,0.017,204800,204800,0.029,204800,204800,0.023,204800,204800,0.025,204800,204800,0.026,204800,204800,0.022,204800,204800,0.046,204800,204800,0.019,204800,204800
60K / 10,0.046,614400,614400,0.081,614400,614400,0.061,614400,614400,0.054,614400,368640,0.042,614400,614400,0.037,614400,614400,0.043,614400,614400,0.041,614400,614400,0.049,614400,614400,0.046,614400,614400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024 / 100,0.071,102400,87040,0.059,102400,54272,0.073,102400,82944,0.68,102400,76800,0.06,102400,79872,0.061,102400,82944,0.093,102400,94208,0.055,102400,102400,0.074,102400,76800,0.059,102400,68608
4096 / 100,0.094,409600,409600,0.105,409600,405505,0.101,409600,409600,0.098,409600,409600,0.115,409600,409600,0.1,409600,409600,0.112,409600,409600,0.109,409600,409600,0.096,409600,409600,0.09,409600,409600
20K / 100,0.18,2048000,2048000,0.165,2048000,1413120,0.154,2048000,1966090,0.147,2048000,2027520,0.151,2048000,1699840,0.164,2048000,1945600,0.14,2048000,1105920,0.158,2048000,2048000,0.175,2048000,2048000,0.154,2048000,2048000
60K / 100,0.0355,6144000,3317760,0.363,6144000,3624960,0.364,6144000,3379200,0.365,6144000,3010560,0.355,6144000,3686400,0.378,6144000,3993600,0.352,6144000,3563520,0.351,6144000,2088960,0.345,6144000,2764800,0.354,6144000,3190784
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sending Average,,,Sending std dev,,,,Average % Loss,,Average % Loss std dev,,,,,,,,,,,,,,,,,,,,,
TCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024 / 10,0.0196,,0.005481281278,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,
4096 / 10,0.0237,,0.007803845206,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,
20K / 10,0.0469,,0.01265306287,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,
60K / 10,0.0977,,0.0380760934,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024 / 100,0.0768,,0.004184627954,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,
4096 / 100,0.1154,,0.01958570908,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,
20K / 100,0.2808,,0.111389008,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,
60K / 100,0.4605,,0.2446490684,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024 / 10,0.0136,,0.003777124126,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,
4096 / 10,0.0126,,0.003238655414,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,
20K / 10,0.0261,,0.00827915723,,,,0.00%,,0.00%,,,,,,,,,,,,,,,,,,,,,
60K / 10,0.05,,0.01288409873,,,,4.00%,,12.65%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024 / 100,0.1285,,0.1941020636,,,,21.30%,,12.94%,,,,,,,,,,,,,,,,,,,,,
4096 / 100,0.102,,0.00811035004,,,,0.10%,,0.32%,,,,,,,,,,,,,,,,,,,,,
20K / 100,0.1588,,0.01237201142,,,,10.40%,,16.08%,,,,,,,,,,,,,,,,,,,,,
60K / 100,0.32625,,0.1025858042,,,,46.91%,,8.83%,,,,,,,,,,,,,,,,,,,,,
